,Summons Number,Plate ID,Registration State,Plate Type,Issue Date,Violation Code,Vehicle Body Type,Vehicle Make,Issuing Agency,Street Code1,Street Code2,Street Code3,Vehicle Expiration Date,Violation Location,Violation Precinct,Issuer Precinct,Issuer Code,Issuer Command,Issuer Squad,Violation Time,Time First Observed,Violation County,Violation In Front Of Or Opposite,House Number,Street Name,Intersecting Street,Date First Observed,Law Section,Sub Division,Violation Legal Code,Days Parking In Effect    ,From Hours In Effect,To Hours In Effect,Vehicle Color,Unregistered Vehicle?,Vehicle Year,Meter Number,Feet From Curb
0,1283294138,GBB9093,NY,PAS,8/04/2013,46,SUBN,AUDI,P,37250,13610,21190,20140831,33.0,33,33,921043,33,0,0752A,,,F,712,W 175 ST,,0,408,F1,,BBBBBBB,ALL,ALL,GY,0.0,2013,-,0
1,1283294151,62416MB,NY,COM,8/04/2013,46,VAN,FORD,P,37290,40404,40404,20140430,33.0,33,33,921043,33,0,1240P,,NY,O,201,W 177 ST,,0,408,C,,BBBBBBB,ALL,ALL,WH,0.0,2012,-,0
2,1283294163,78755JZ,NY,COM,8/05/2013,46,P-U,CHEVR,P,37030,31190,13610,20140228,33.0,33,33,921043,33,0,1243P,,NY,O,520,W 163 ST,,0,408,F7,,BBBBBBB,ALL,ALL,,0.0,0,-,0
3,1283294175,63009MA,NY,COM,8/05/2013,46,VAN,FORD,P,37270,11710,12010,20141031,33.0,33,33,921043,33,0,0232P,,NY,O,517,W 176 ST,,0,408,F1,,BBBBBBB,ALL,ALL,WH,0.0,2010,-,0
4,1283294187,91648MC,NY,COM,8/08/2013,41,TRLR,GMC,P,37240,12010,31190,0,33.0,33,33,921043,33,0,1239P,,NY,F,590,W 174 ST,,0,408,E1,,BBBBBBB,ALL,ALL,BR,0.0,2012,-,0
5,1283294217,T60DAR,NJ,PAS,8/11/2013,14,P-U,DODGE,P,37250,10495,12010,0,33.0,33,33,921043,33,0,0617P,,NY,F,525,W 175 ST,,0,408,F1,,BBBBBBB,ALL,ALL,RD,0.0,0,-,0
6,1283294229,GCR2838,NY,PAS,8/11/2013,14,VAN,,P,37250,12010,31190,20141223,33.0,33,33,921043,33,0,0741P,,NY,F,551,W 175 ST,,0,408,C,,BBBBBBB,ALL,ALL,GN,0.0,2011,-,0
7,1283983620,XZ764G,NJ,PAS,8/07/2013,24,DELV,FORD,X,63430,0,0,0,88.0,88,976,101079,976,0,0425A,,K,F,100,N.PORTLAND AVE,BROOKLYN NY 11206,0,408,E5,,BBBBBBB,ALL,ALL,WHITE,0.0,0,-,0
8,1283983631,GBH9379,NY,PAS,8/07/2013,24,SDN,TOYOT,X,63430,0,0,20140722,88.0,88,976,101079,976,0,0437A,,K,F,100,N.PORTLAND AVE,BROOKLYN NY 11206,0,408,D5,,BBBBBBB,ALL,ALL,WHITE,0.0,2001,-,0
9,1283983667,MCL78B,NJ,PAS,07/18/2013,24,SDN,SUBAR,H,0,0,0,0,79.0,79,976,101043,976,0,0839A,,K,F,,"760 BROADWAY ,BROOKL",WOODHULL HOSPITAL,0,408,D,,BBBBBBB,ALL,ALL,BLACK,0.0,2005,-,0
10,1283983679,M367CN,NY,PAS,07/18/2013,24,SDN,HYUND,H,0,0,0,20140510,79.0,79,976,101043,976,0,0845A,,K,F,,760 BROADWAY BROOKLY,WOODHULL HOSPITAL,0,408,D5,,BBBBBBB,ALL,ALL,BLUE,0.0,2010,-,0
11,1283983734,GAR6813,NY,PAS,07/18/2013,24,SDN,TOYOT,H,0,0,0,20141008,79.0,79,976,101043,976,0,0907A,,K,F,,760 BROADWAY BROOKLY,WOODHULL HOSPITAL,0,408,D5,,BBBBBBB,ALL,ALL,TAN,0.0,1998,-,0
12,1283983771,GEN8674,NY,PAS,07/31/2013,24,SDN,AUDI,X,0,0,0,20150331,79.0,79,976,101080,976,0,0514P,,K,F,,760 BDWAY BKLYN,NY 11206,0,408,D5,,BBBBBBB,ALL,ALL,GOLD,0.0,0,-,0
13,1283983825,GAC2703,NY,PAS,8/12/2013,24,SDN,NISSA,X,23230,41330,83330,20140713,79.0,79,976,101080,976,0,0656P,,K,F,760,BWY,,0,408,D5,,BBBBBBB,ALL,ALL,WHITE,0.0,2012,-,0
14,1286036800,40793JY,NY,COM,7/05/2013,14,VAN,CHEVR,P,34190,10410,10510,0,13.0,13,13,944320,13,0,1145P,,,F,59,W 21 STREET,,0,408,C,,YYYYYYY,1100P,0600A,GREEN,0.0,1995,-,0
15,1286123550,GAD1485,NY,PAS,8/12/2013,20,SDN,VOLKS,T,28930,27530,29830,20140729,76.0,76,730,337777,T730,0,0546P,,K,O,221,CONGRESS ST,,0,408,D,,BBBBBBB,ALL,ALL,WHITE,0.0,2012,-,0
16,1286246398,GFC5338,NY,PAS,07/26/2013,14,SDN,TOYOT,T,0,40404,40404,20150128,78.0,78,0,332116,BKTU,0,1142A,,K,O,145,PROSPECT PKWAY,,0,408,C,,YYYYYYY,0800A,1000P,GRAY,0.0,2010,-,0
17,1286246416,815M342,MD,PAS,07/30/2013,20,SUBN,SATUR,T,0,0,0,20141288,88.0,88,0,332116,BKTP,0,0724A,,K,,,N/S DEKALB AVE,E/O ST JAMES PL,0,408,D,,YYYYYBB,0700A,1000A,GREEN,0.0,0,-,0
18,1286248000,GJA3452,NY,PAS,07/23/2013,14,SDN,KIA,T,73690,40430,48230,20140930,71.0,71,730,338558,T730,0,0758A,,K,F,576,ROGERS AVE,,0,408,J3,,YYYYYBB,0700A,1000A,WH,0.0,2013,-,0
19,1286282330,YZY6476,NC,PAS,07/29/2013,20,SDN,NISSA,T,32030,75130,50830,20131088,81.0,81,730,332020,T730,0,0736A,,K,F,702,DECATUR ST,,0,408,E1,,BBBBBBB,ALL,ALL,WHITE,0.0,0,-,0
20,1286282342,WBJ819,LA,PAS,8/07/2013,17,SUBN,HONDA,T,0,0,0,20140488,81.0,81,730,332020,T730,0,0847A,,K,,,N/S LINDEN ST,60  E/O BROADWAY,0,408,K2,,BBBBBBB,0800A,0600P,TAN,0.0,0,-,0
21,1286289841,GAV9235,NY,PAS,07/20/2013,50,SDN,HONDA,T,0,0,0,20140705,28.0,28,730,331797,T730,0,1120A,,K,,,N/S WILLOUGHBY AVE,5 E/O VANDERBILT,0,408,L2,,BBBBBBB,ALL,ALL,GY,0.0,2012,-,0
22,1286654920,ZTR66R,NJ,PAS,07/18/2013,50,SDN,N/S,T,0,0,0,0,1.0,1,0,346004,0SIC,0,1020A,,NY,,,,,0,408,C3,,BBBBBBB,ALL,ALL,GRAY,0.0,0,-,0
23,1286799648,GDE3973,NY,PAS,07/20/2013,40,SDN,TOYOT,T,0,0,0,20141206,1.0,1,0,331825,MTPU,0,0324P,,NY,,,E/S RIVER TER.,20  N/O WARREN ST,0,408,C,,BBBBBBB,ALL,ALL,TN,0.0,2003,-,9
24,1286807062,P193871,IL,PAS,8/10/2013,40,SDN,SCIO,T,26630,40930,18630,0,71.0,71,730,338594,T730,0,1018A,,K,O,11,CLARKSON AVE,,0,408,D,,BBBBBBB,ALL,ALL,BK,0.0,0,-,6
25,1286807475,GGL6608,NY,PAS,07/26/2013,40,SDN,NISSA,T,73650,60530,50630,20140930,90.0,90,730,346108,T730,0,0743A,,K,O,143,ROEBLING ST,,0,408,K2,,BBBBBBB,ALL,ALL,WHT,0.0,2013,-,1
26,1286807633,84301JU,NY,COM,07/19/2013,14,P-U,DODGE,X,63030,74830,67030,20141031,79.0,79,730,345140,T730,0,0850A,,K,F,737,MYRTLE AVE,,0,408,I4,,BBBBBBB,ALL,ALL,WH,0.0,2001,-,0
27,1286808807,HHG3545,PA,PAS,8/06/2013,20,SDN,TOYOT,T,21130,71330,89930,0,84.0,84,730,344784,T730,0,0915A,,K,F,43,BRIDGE ST,,0,408,I3,,YYYYBBB,0800A,0600P,GR,0.0,0,-,0
28,1287320491,50097JX,NY,COM,8/07/2013,40,VAN,MERCU,T,23190,27290,20340,20140331,5.0,5,110,349476,T110,0,1023A,,NY,O,124,HUDSON ST,,0,408,E1,,BBBBBBB,ALL,ALL,RD,0.0,2003,-,0
29,1287320570,GEJ9154,NY,PAS,8/06/2013,51,VAN,TOYOT,X,93230,74830,67030,20150321,79.0,79,110,349476,T110,0,1120A,,K,O,436,WILLOUGHBY AVE,,0,408,F7,,BBBBBBB,ALL,ALL,GY,0.0,2013,-,0
30,1287517304,6B22924,ID,PAS,07/22/2013,20,SDN,VOLKS,T,36250,10610,10810,0,28.0,28,108,331847,T108,0,0521P,,NY,F,238,W 124 ST,,0,408,D,,YYYYYYB,0800A,0600P,GY,0.0,0,-,0
31,1287517316,4135TE,ME,PAS,07/22/2013,14,SDN,TOYOT,T,0,0,0,0,26.0,26,108,331847,T108,0,0251P,,NY,,,E/S CONVENT AVE,200  S O W 135,0,408,D,,YYYYYYY,ALL,ALL,BL,0.0,0,-,0
32,1287518126,WMI,CT,PAS,07/24/2013,31,SUBN,ME/BE,T,34510,13610,10610,0,14.0,14,108,330898,T108,0,0410P,,,O,142,W 37 ST,,0,408,I3,,YYYYYYB,ALL,ALL,BK,0.0,0,-,0
33,1287603671,P752957,99,999,07/20/2013,85,DELV,VOLVO,T,17330,89740,9530,0,66.0,66,108,338568,T108,0,0246A,1134P,K,F,5810,BAY PARKWAY,,20130719,408,C,,BBBBBBB,ALL,ALL,,0.0,0,-,0
34,1287603683,P774757,IL,PAS,03/20/2013,85,TRLR,VOLVO,T,17330,89740,9530,0,66.0,66,108,338568,T108,0,0300A,0950P,K,O,5810,BAY PARKWAY,,20130719,408,K5,,BBBBBBB,ALL,ALL,WHITE,0.0,0,-,0
35,1288135920,GFM8884,NY,OMS,07/24/2013,19,SUBN,ME/BE,X,0,40404,40404,20140930,84.0,84,0,881709,KINA,0,0105P,,K,F,209,JORLEMON ST,,0,408,F1,,BBBBBBB,ALL,ALL,BLU,0.0,2013,-,0
36,1288259270,43517LA,NY,PAS,8/02/2013,18,SDN,CADIL,P,73720,26640,26670,20140331,46.0,46,401,906480,401,0,0450P,,NY,F,1135,WEBSTER AVE,,0,408,F4,,BBBBBBB,ALL,ALL,WHT,0.0,2004,-,0
37,1288360800,HYM4303,PA,PAS,8/06/2013,41,SDN,MITSU,P,29090,13113,13113,0,25.0,25,805,948345,805,0,0618P,,,O,50,PALADINO,,0,408,D5,,BBBBBBB,ALL,ALL,GRAY,0.0,0,-,0
38,1289971754,XDB4574,VA,PAS,8/01/2013,40,VAN,TOYOT,P,13610,34750,34770,20140731,,0,0,930825,0,0,0730P,,NY,F,1619,BROADWAY,,0,408,I4,,BBBBBBB,ALL,ALL,RED,0.0,2007,-,0
39,1290136210,GGW7930,NY,PAS,07/25/2013,74,SUBN,MAZDA,P,56600,52400,28280,20150609,120.0,120,120,942302,120,0,0845A,,R,O,29,YORK AVE,,0,408,D,,BBBBBBB,ALL,ALL,TAN,0.0,2002,-,0
40,1290834349,429J6JM,NY,COM,07/23/2013,46,DELV,INTER,P,0,40404,40404,0,107.0,107,107,947582,107,0,1037A,,Q,F,67-21,UTOPIA PWKY,,0,408,F1,,BBBBBBB,ALL,ALL,BR,0.0,1996,-,0
41,1290834362,GBC9079,NY,PAS,07/27/2013,98,SDN,MERCU,P,14490,24590,24690,20140726,107.0,107,107,947582,107,0,0927A,,,O,170-10,69 AVE,,0,408,F2,,BBBBBBB,ALL,ALL,GY,0.0,2012,-,0
42,1290834374,42587JW,NY,COM,07/30/2013,46,DELV,FORD,P,65590,25270,25340,20141219,107.0,107,107,947582,107,0,1119A,,Q,O,189-17,UNION TPK,,0,408,F7,,BBBBBBB,ALL,ALL,YELL,0.0,0,-,0
43,1290834386,SES174,NB,PAS,08/15/2013,19,SDN,NISSA,P,49690,25040,24990,0,107.0,107,107,947582,107,0,1050A,,Q,F,179-09,HILLSIDE AVE,,0,408,K6,,BBBBBBB,ALL,ALL,BK,0.0,0,-,0
44,1291204167,JCE3366,PA,PAS,07/24/2013,74,SUBN,FORD,P,14980,70030,73110,0,81.0,81,803,946127,803,0,1015A,,K,F,326,BAINBRIDGE ST,,0,408,D5,,BBBBBBB,ALL,ALL,GREY,0.0,0,-,0
45,1291521665,YANKYJAM,NY,PAS,7/02/2013,46,SDN,BMW,F,5430,9130,9180,20130510,72.0,72,114,916652,1114,0,0742P,,K,,5113,4TH AVE,,0,408,C,,BBBBBBB,ALL,ALL,BLK,0.0,0,-,0
46,1291686332,47SB13,NY,999,07/26/2013,51,MCY,HARLE,P,50830,19230,80430,0,73.0,73,73,924450,73,0,0459A,,,F,303,THOMAS BOYLAND ST,,0,408,K6,,BBBBBBB,ALL,ALL,SILVE,0.0,0,-,0
47,1291896399,G24BLB,NJ,PAS,07/19/2013,40,SDN,INFIN,P,41900,49655,39693,20151020,120.0,120,446,907618,446,0,1135A,,R,O,257,OSGOOD AVE,,0,408,K6,,BBBBBBB,ALL,ALL,BK,0.0,2011,-,0
48,1291898384,GER8956,NY,SRF,07/26/2013,14,SDN,CHEVR,P,53000,17150,18510,20140930,120.0,120,496,933167,496,0,0637P,,R,F,265,VICTORY BLVD,,0,408,J6,,BBBBBBB,ALL,ALL,GRAY,0.0,2012,-,0
49,1291905236,85796MC,NY,COM,07/26/2013,17,DELV,ISUZU,P,33990,50300,22550,20140228,120.0,120,446,903295,446,0,0105P,1255P,NY,F,9,HYATT ST,,0,408,J2,,BBBBBBB,ALL,ALL,WH,0.0,2013,-,0
50,1292755052,GBB7685,NY,PAS,07/14/2013,19,SDN,LEXUS,X,59990,16190,16295,20140831,112.0,112,0,429825,QNR0,0,0600P,,Q,F,118-20,QUEENS BLVD,,0,408,C3,,BBBBBBB,ALL,ALL,WHITE,0.0,2013,-,0
51,6020309034,GEW4836,99,PAS,07/18/2013,94,SDN,ACURA,X,0,0,0,20150424,,0,0,331702,T108,0,,,,,,,,0,408,5,0.0,YYYYYYY,ALL,ALL,GY,0.0,0,,0
52,1292755064,904YDS,CT,PAS,07/14/2013,19,SDN,VOLVO,X,54580,57790,8790,0,109.0,109,0,429825,QNR0,0,0610P,,Q,F,36-26,MAIN ST,,0,408,C,,BBBBBBB,ALL,ALL,WHITE,0.0,0,-,0
53,1292756792,GDX8921,99,PAS,07/15/2013,19,SDN,HONDA,X,28790,18740,18840,20150418,115.0,115,0,0,N4CT,0,1053A,1052A,,F,94-07,ASTORIA BLVD,,20130715,408,C3,,BBBBBBB,ALL,ALL,SILVE,0.0,2003,-,0
54,1292757050,S206498,IL,PAS,07/24/2013,19,,BMW,X,0,40404,40404,0,105.0,105,0,0,0,0,1014A,,Q,F,,80FT KEW GARDENS ROA,,0,408,J6,,BBBBBBB,ALL,ALL,BLACK,0.0,0,-,0
55,1293030739,GHG2484,NY,PAS,8/11/2013,46,,FORD,P,26440,20570,20630,20150530,105.0,105,105,940472,105,0,0130A,,Q,F,112-32,212 ST,,0,408,J6,,BBBBBBB,ALL,ALL,BK,0.0,2013,-,0
56,1293090530,GES3519,NY,PAS,7/07/2013,40,SDN,HONDA,F,70630,42730,13430,20150320,75.0,75,332,920198,5332,0,0312P,,K,F,169,PINE ST,,0,408,E2,,BBBBBBB,ALL,ALL,BLACK,0.0,1997,-,0
57,1293094389,GDS9810,NJ,PAS,06/20/2013,31,SDN,BMW,P,24890,17990,18010,20141015,17.0,17,0,919860,0,0,0532P,,NY,O,570,LEXINGTON AVE,,0,408,C,,BBBBBBB,ALL,ALL,SILVE,0.0,2007,-,0
58,1293100924,64195MC,NY,COM,06/20/2013,46,VAN,WHITE,F,81330,20530,64330,20140930,84.0,84,226,919877,E226,0,0344P,,K,F,409,STATE ST,,0,408,F1,,BBBBBBB,ALL,ALL,WHITE,0.0,1998,-,0
59,1293101140,54100JA,NY,COM,7/05/2013,40,P-U,FORD,F,21140,16940,41120,20130831,102.0,102,862,915438,4862,0,0115P,,NY,F,83-30,118 ST,,0,408,E2,,BBBBBBB,ALL,ALL,,0.0,0,-,5
60,1293101151,54100JA,NY,COM,7/05/2013,46,P-U,FORD,F,21140,16940,41120,20130831,102.0,102,862,915438,4862,0,0115P,,NY,F,83-30,118 ST,,0,408,F1,,BBBBBBB,ALL,ALL,,0.0,0,-,0
61,1293101758,GCF5651,NY,PAS,05/24/2013,17,SUBN,CHRYS,F,24990,15350,21790,20140911,1.0,1,10,920027,7010,0,0900A,,NY,F,114,LIBERTY ST,,0,408,C4,,BBBBBBB,ALL,ALL,GREEN,0.0,2010,-,0
62,1293101783,GCF5651,NY,PAS,06/24/2013,14,SUBN,CHRYS,F,24990,15350,21790,20140911,1.0,1,30,919852,1030,0,0825A,,NY,F,112,LIBERTY ST,,0,408,C,,BBBBBBB,ALL,ALL,TAN,0.0,2010,-,0
63,1293107761,4N11B,NY,OMT,6/07/2013,14,VAN,FORD,F,34310,10610,10810,20140228,20.0,20,430,912902,1430,0,0104A,,NY,O,205,W 27TH ST,,0,408,C,,BBBBBBB,ALL,ALL,YELLO,0.0,2012,-,0
64,1293525560,T632455C,NY,SRF,07/29/2013,14,SDN,LINCO,P,39430,73690,67030,20140430,71.0,71,71,928263,71,0,0805P,,K,F,322,EMPIRE BLVD,,0,408,C,,BBBBBBB,ALL,ALL,GRY,0.0,2005,-,0
65,1293525625,GGP1847,NY,PAS,07/29/2013,46,SUBN,HONDA,P,0,0,0,20150428,71.0,71,71,928263,71,0,0945P,,K,,,N/E SIDE KINGSTON AV,20  N/OF EAST NY,0,408,E2,,BBBBBBB,ALL,ALL,WHT,0.0,2013,-,0
66,1294202492,XD377T,NJ,PAS,07/25/2013,46,TRLR,MITSU,X,0,0,0,0,14.0,14,14,919144,14,0,0953A,,NY,F,,S/S JOSEPH P WARD ST,WEST SIDE HILL,0,408,F1,,BBBBBBB,ALL,ALL,WHT,0.0,0,-,0
67,1294364133,4BXK89,MD,PAS,08/13/2013,21,SDN,CHEVR,S,56590,60085,35290,0,101.0,101,0,958451,SI01,0,1145A,,Q,F,2118,NAMEOKE AVENUE,,0,408,D1,,BYBBBBB,1130A,0100P,GREY,0.0,0,-,0
68,1294364145,IHR526,SC,PAS,08/13/2013,21,SDN,INFIN,S,50303,60085,35290,0,101.0,101,0,958451,SI01,0,1155A,,Q,O,1529,HASSOCK STREET,,0,408,D1,,BYBBBBB,1130A,0100P,RED,0.0,0,-,0
69,1294712196,V71CRE,NJ,PAS,7/02/2013,17,SDN,TOYOT,P,14510,34990,35010,20141120,20.0,20,0,937061,TD01,0,0145A,0145P,,F,15,CENTRAL PARK WEST,,0,408,C4,,BBBBBBB,ALL,ALL,SILVE,0.0,0,-,0
70,1294712202,U95CLJ,99,PAS,8/04/2013,17,SDN,HONDA,P,14510,34990,35010,20131010,20.0,20,0,937061,TD01,0,0220P,0220P,,O,15,CENTRAL PARK WEST,,20130804,408,C3,,BBBBBBB,ALL,ALL,GREY,0.0,0,-,0
71,1294712627,482YAO,CT,PAS,8/07/2013,17,SDN,ACURA,P,14510,34990,35010,0,20.0,20,860,905907,860,0,0920A,,NY,O,15,CENTRAL PARK WEST,,0,408,E3,,BBBBBBB,ALL,ALL,BLACK,0.0,0,-,0
72,1294712731,H21CET,NJ,PAS,07/21/2013,17,SDN,AUDI,P,14510,35010,35030,0,20.0,20,0,930130,TD01,0,1100A,,NY,O,25,CPW,,0,408,E2,,BBBBBBB,ALL,ALL,BLACK,0.0,0,-,0
73,1294712755,GHF1267,NY,PAS,07/21/2013,16,VAN,CHRYS,P,14510,35010,35030,20150627,20.0,20,0,930130,TD01,0,0248P,,NY,O,25,CPW,,0,408,C3,,BBBBBBB,ALL,ALL,BLUE,0.0,2002,-,0
74,1294712779,578032,NY,PAS,07/30/2013,17,SDN,AUDI,P,14510,34990,35010,20131218,20.0,20,0,930130,TD01,0,1203P,,NY,O,15,CPW,,0,408,E2,,BBBBBBB,ALL,ALL,BLACK,0.0,2010,-,0
75,1294712780,SWANK,NH,PAS,07/30/2013,17,SDN,TOYOT,P,14510,34990,35010,0,20.0,20,0,930130,TD01,0,0129P,,NY,O,15,CPW,,0,408,C,,BBBBBBB,ALL,ALL,SILVE,0.0,0,-,0
76,1294712792,GCX7943,NY,PAS,07/30/2013,17,SDN,AUDI,P,14510,34990,35010,20150314,20.0,20,0,930130,TD01,0,0133P,,NY,O,15,CPW,,0,408,E2,,BBBBBBB,ALL,ALL,BLACK,0.0,1999,-,0
77,1294712809,JFG9230,PA,PAS,07/30/2013,17,SUBN,JEEP,P,14510,34990,35010,0,20.0,20,0,930130,TD01,0,0126P,,NY,O,15,CPW,,0,408,J2,,BBBBBBB,ALL,ALL,BLUE,0.0,0,-,0
78,1294712810,M57BVG,NJ,PAS,8/04/2013,17,SDN,KIA,P,14510,34990,35010,0,20.0,20,0,919722,TD01,0,0430P,,NY,O,15,CENTRAL PARK WEST,,0,408,C3,,BBBBBBB,ALL,ALL,WHITE,0.0,0,-,0
79,1294712846,Z26CME,NJ,PAS,8/04/2013,19,SDN,,P,14510,35150,35170,0,20.0,20,0,919722,TD01,0,0520P,,NY,O,91,CENTRAL PARK WEST,,0,408,C,,BBBBBBB,ALL,ALL,RED,0.0,0,-,0
80,1294712860,MYDOXIE,PA,PAS,8/04/2013,17,P-U,CHEVR,P,14510,35010,35030,0,20.0,20,0,930130,TD01,0,0235P,,NY,O,25,CPW,,0,408,C4,,BBBBBBB,ALL,ALL,BLACK,0.0,0,-,0
81,1294712895,UW6791,NJ,PAS,8/11/2013,17,SUBN,JEEP,P,14510,35010,35030,0,20.0,20,0,930130,TD01,0,0850A,,NY,O,25,CPW,,0,408,C4,,BBBBBBB,ALL,ALL,GREEN,0.0,0,-,0
82,1294712901,GDZ4899,NY,PAS,8/04/2013,17,SUBN,CHRYS,P,14510,34990,35010,20150605,20.0,20,0,930130,TD01,0,0353P,,NY,O,15,CPW,,0,408,C4,,BBBBBBB,ALL,ALL,RED,0.0,2002,-,0
83,1294712937,469ZKO,CT,PAS,8/04/2013,17,SDN,TOYOT,P,14510,34990,35010,0,20.0,20,0,930130,TD01,0,0229P,,NY,O,15,CPW,,0,408,C4,,BBBBBBB,ALL,ALL,BLACK,0.0,0,-,0
84,1294712950,GCF7473,NY,PAS,8/04/2013,17,SDN,HYUND,P,14510,35010,35030,20141125,20.0,20,0,930130,TD01,0,0233P,,NY,O,25,CPW,,0,408,C4,,BBBBBBB,ALL,ALL,BLACK,0.0,2001,-,0
85,1294713012,GHJ9196,NY,PAS,8/10/2013,17,SDN,KIA,P,14510,35010,35030,20140930,20.0,20,860,916572,860,0,0337P,,NY,O,25,CENTRAL PARK WEST,,0,408,C4,,BBBBBBB,ALL,ALL,GRAY,0.0,0,-,0
86,1294713024,JMC510,NE,PAS,08/24/2013,17,SUBN,KIA,P,14510,35010,35030,0,20.0,20,860,916572,860,0,0409P,,NY,O,25,CENTRAL PARK WEST,,0,408,C4,,BBBBBBB,ALL,ALL,GREEN,0.0,0,-,0
87,1294713218,GFC8215,NY,PAS,08/13/2013,38,SUBN,CHEVR,P,0,35590,0,20150328,20.0,20,860,905907,860,0,1200P,,NY,O,1,CENTRAL PARK WEST ON,W 91,0,408,F1,,BBBBBBB,ALL,ALL,BLACK,0.0,2012,-,0
88,1294713220,6417CO,CT,COM,08/13/2013,38,VAN,CHEVR,P,0,0,0,0,20.0,20,860,905907,860,0,1203P,,NY,,,N/E CO W 61 ST,B WAY,0,408,I4,,BBBBBBB,ALL,ALL,WHITE,0.0,0,-,0
89,1294713255,GI2360,IN,PAS,08/18/2013,17,SDN,PONTI,P,14510,15715,34990,20140831,20.0,20,860,905907,860,0,1055A,,NY,O,1,CENTRAL PARK WEST,,0,408,C4,,BBBBBBB,ALL,ALL,SILVE,0.0,0,-,0
90,1294713267,YYY5043,NC,PAS,08/18/2013,17,P-U,SUZUK,P,14510,15715,34990,20140731,20.0,20,860,905907,860,0,1109A,,NY,O,1,CENTRAL PARK WEST,,0,408,C4,,BBBBBBB,ALL,ALL,GREY,0.0,0,-,0
91,1294713279,846NR1,MA,PAS,08/18/2013,17,SUBN,JEEP,P,14510,34990,35010,20150131,20.0,20,860,905907,860,0,1112A,,NY,O,15,CENTRAL PARK WEST,,0,408,D,,BBBBBBB,ALL,ALL,SILVE,0.0,0,-,0
92,1294713413,YUH69J,NJ,PAS,08/25/2013,17,SDN,SUBAR,P,14510,34990,35010,0,20.0,20,860,947219,860,0,0413P,,NY,O,15,CENTRAL PARK WEST,,0,408,C,,BBBBBBB,ALL,ALL,WHITE,0.0,0,-,0
93,1294713449,ZYY16H,NJ,PAS,08/25/2013,17,SUBN,LEXUS,P,14510,35010,35030,0,20.0,20,860,947219,860,0,0420P,,NY,O,25,CENTRAL PARK WEST,,0,408,C4,,BBBBBBB,ALL,ALL,GRAY,0.0,0,-,0
94,1294726638,H1964Z,99,SRF,07/26/2013,17,SDN,CHEVR,P,14510,35010,35030,20141231,20.0,20,0,951322,TD01,0,1212P,,NY,O,25,CENTRAL PARK WEST,,0,408,E2,,BBBBBBB,ALL,ALL,SILVE,0.0,0,-,0
95,1294726810,396ZGC,CT,PAS,07/20/2013,17,SDN,TOYOT,P,14510,35010,35030,0,20.0,20,0,919722,TD01,0,0410P,,NY,O,25,CENTRAL PARK WEST,,0,408,C4,,BBBBBBB,ALL,ALL,SILVE,0.0,0,-,0
96,1294726833,PARKERW,OH,PAS,07/28/2013,17,SDN,HONDA,P,14510,15715,34990,0,20.0,20,0,919722,TD01,0,0355P,,NY,O,1,CENTRAL PARK WEST,,0,408,D,,BBBBBBB,ALL,ALL,BLUE,0.0,0,-,0
97,1294726985,YPP90Y,NJ,PAS,07/31/2013,17,SDN,HONDA,X,14510,35010,35030,20150430,20.0,20,860,948275,860,0,1050A,,NY,O,25,CENTRAL PARK WEST,,0,408,C4,,BBBBBBB,ALL,ALL,BLACK,0.0,0,-,0
98,1294727151,HTM4727,PA,PAS,8/04/2013,17,SUBN,KIA,P,14510,34990,35010,0,18.0,18,0,951373,TD01,0,1120A,,NY,O,15,CPW,,0,408,C4,,BBBBBBB,ALL,ALL,GREEN,0.0,0,-,0
99,1294727199,J3437R,TN,PAS,08/24/2013,17,SDN,TOYOT,P,14510,35010,35030,0,20.0,20,0,951373,TD01,0,0300P,,NY,O,25,CPW,,0,408,C4,,BBBBBBB,ALL,ALL,GRAY,0.0,0,-,0
100,1294727205,XBD7628,VA,PAS,8/04/2013,17,SUBN,JEEP,P,14510,34990,35010,0,20.0,20,0,927390,TD01,0,1115A,,NY,O,15,CPW,,0,408,K4,,BBBBBBB,ALL,ALL,GRY,0.0,0,-,0
101,1294727461,R613159,IL,PAS,07/17/2013,17,SDN,VOLKS,P,14510,34990,35010,0,20.0,20,860,916572,860,0,0350P,,NY,O,15,CENTRAL PARK WEST,,0,408,J6,,BBBBBBB,ALL,ALL,BLUE,0.0,0,-,0
102,1294727473,6TCX735,CA,PAS,07/18/2013,17,SDN,MAZDA,P,14510,35010,35030,0,20.0,20,860,916572,860,0,0712P,,NY,O,25,CENTRAL PARK WEST,,0,408,C4,,BBBBBBB,ALL,ALL,BLACK,0.0,0,-,0
103,1294727497,ZWZ43K,NJ,PAS,8/10/2013,17,SUBN,LINCO,P,14510,34990,35010,20140520,20.0,20,860,916572,860,0,0531P,,NY,O,15,CENTRAL PARK WEST,,0,408,C4,,BBBBBBB,ALL,ALL,,0.0,0,-,0
104,1295357240,T624858C,NY,PAS,07/22/2013,21,SUBN,TOYOT,X,28790,11610,19690,20140430,5.0,5,0,859944,ME03,0,1145A,,,O,3,PIKE ST,,0,408,D1,,YBBBBBB,1201A,1159P,SILVE,0.0,2012,-,0
105,1295546486,42909JM,NY,COM,07/17/2013,19,DELV,MERCU,P,58590,17790,18040,0,103.0,103,171,953627,171,0,0430P,0430P,Q,O,88-28,PARSONS BLVD,,20130717,408,E5,,BBBBBBB,ALL,ALL,BROWN,0.0,1996,-,0
